"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.592719020E-1,2.394201700E-3,-2.873042040E-2,9.888052940E0,9.888094969E0
3.642768230E-1,5.985504389E-2,-4.788403213E-2,9.878476143E0,9.878773528E0
3.693122610E-1,-4.548983276E-2,-6.703764945E-2,9.916783333E0,9.917114250E0
3.743476980E-1,-1.675941236E-2,-1.149216816E-1,9.897629738E0,9.898311083E0
3.793831370E-1,-3.591302410E-2,-1.915361360E-2,9.763554573E0,9.763639409E0
3.844185750E-1,-3.591302410E-2,-2.873042040E-2,9.686940193E0,9.687049370E0
3.894234950E-1,-2.633621916E-2,-4.788403213E-2,9.773131371E0,9.773284160E0
3.944589330E-1,4.070143029E-2,-2.873042040E-2,9.782708168E0,9.782835026E0
3.994943720E-1,2.394201700E-3,-9.576806799E-3,9.849745750E0,9.849750697E0
4.045298100E-1,3.112462163E-2,-1.149216816E-1,9.945513725E0,9.946226370E0
4.095347300E-1,5.027823523E-2,-9.576806799E-3,9.878476143E0,9.878608734E0
4.145701680E-1,-3.591302410E-2,-6.703764945E-2,9.744400978E0,9.744697749E0
4.196056070E-1,-2.633621916E-2,-9.576806799E-3,9.734824181E0,9.734864516E0
4.246410450E-1,-3.591302410E-2,-3.830722719E-2,9.734824181E0,9.734965794E0
4.296764830E-1,2.394201700E-3,-9.576806799E-3,9.830592155E0,9.830597112E0
4.346814030E-1,-3.591302410E-2,-1.915361360E-2,9.868899345E0,9.868983276E0
4.397168420E-1,2.394201700E-3,-9.576806426E-2,9.859322548E0,9.859787947E0
4.447522800E-1,-7.182605099E-3,-9.576806426E-2,9.849745750E0,9.850213930E0
4.497877180E-1,-5.506663769E-2,-1.915361360E-2,9.801861763E0,9.802035157E0
4.548231560E-1,-3.591302410E-2,-4.788403213E-2,9.753977776E0,9.754161423E0
4.598280770E-1,4.070143029E-2,-4.788403213E-2,9.706093788E0,9.706297240E0
4.648635140E-1,2.154781483E-2,-1.915361360E-2,9.763554573E0,9.763597138E0
4.698989530E-1,-2.633621916E-2,-4.788403213E-2,9.878476143E0,9.878627303E0
4.749343910E-1,-7.182605099E-3,-1.915361360E-2,9.974244118E0,9.974265094E0
4.799698290E-1,-4.548983276E-2,4.788403213E-2,9.859322548E0,9.859543768E0
4.849747490E-1,-7.182605099E-3,-9.576806426E-2,9.811438560E0,9.811908568E0
4.900101880E-1,-5.506663769E-2,-9.576806799E-3,9.706093788E0,9.706254719E0
4.950456260E-1,-7.422025502E-2,2.873042040E-2,9.696516991E0,9.696843602E0
5.000810640E-1,-7.182605099E-3,2.873042040E-2,9.753977776E0,9.754022733E0
5.051165020E-1,1.197100803E-2,-2.873042040E-2,9.888052940E0,9.888101926E0
5.101214230E-1,6.943184882E-2,-6.703764945E-2,9.935936928E0,9.936405661E0
5.151568610E-1,4.070143029E-2,-6.703764945E-2,9.878476143E0,9.878787454E0
5.201922990E-1,4.070143029E-2,-1.053448766E-1,9.811438560E0,9.812088502E0
5.252277370E-1,2.394201700E-3,-3.830722719E-2,9.744400978E0,9.744476569E0
5.302631750E-1,-8.379705995E-2,-2.873042040E-2,9.706093788E0,9.706498030E0
5.352680960E-1,2.394201700E-3,-6.703764945E-2,9.792284966E0,9.792514724E0
5.403035330E-1,-1.675941236E-2,0.000000000E0,9.821015358E0,9.821029658E0
5.453389720E-1,-2.633621916E-2,-3.830722719E-2,9.878476143E0,9.878585524E0
5.503744100E-1,-7.182605099E-3,-3.830722719E-2,9.916783333E0,9.916859922E0
5.553793310E-1,2.394201700E-3,-6.703764945E-2,9.907206535E0,9.907433629E0
5.604147680E-1,3.112462163E-2,-9.576806799E-3,9.706093788E0,9.706148416E0
5.654502070E-1,-3.591302410E-2,-4.788403213E-2,9.753977776E0,9.754161423E0
5.704856450E-1,-3.591302410E-2,-5.746084079E-2,9.792284966E0,9.792519407E0
5.755210830E-1,5.985504389E-2,-9.576806426E-2,9.840168953E0,9.840816997E0
5.805260030E-1,2.394201700E-3,-3.830722719E-2,9.916783333E0,9.916857609E0
5.855614420E-1,2.394201700E-3,-4.788403213E-2,9.821015358E0,9.821132382E0
5.905968800E-1,-3.591302410E-2,-4.788403213E-2,9.878476143E0,9.878657476E0
5.956323180E-1,-2.633621916E-2,-1.915361360E-2,9.753977776E0,9.754032136E0
6.006372380E-1,-5.506663769E-2,-1.244984865E-1,9.734824181E0,9.735775985E0
6.056726770E-1,-1.675941236E-2,-4.788403213E-2,9.773131371E0,9.773263045E0
6.107081150E-1,-1.675941236E-2,-1.915361360E-2,9.801861763E0,9.801894805E0
